Shape,b_1(mm),d_1(mm),d_avg(mm),rho_avg(%),$b^* [mm]$,$b^*/d_{avg}$,f_c(MPa),f_y(MPa),V_u(kN),b_o (mm),$f_y * rho_{avg} [MPa]$,lamda,lamdas,beta,$ACI_a [psi]$,$ACI_b [psi]$,$ACI_c [psi]$,$ACI_{min} [psi]$,$ACI_{min} [MPa]$,ACI_$V_c [kN]$
S,100,100,40.5,0.008213314,100,2.469135802,32.625,530,56,562,4.35305642,0.85,1,1,233.8810734,350.8216101,285.4847266,233.8810734,1.61255387,36.70331089
S,100,100,40.5,0.006912195,100,2.469135802,28.8,530,57,562,3.66346335,0.85,1,1,219.7435125,329.6152687,268.2278462,219.7435125,1.51507878,34.48468205
S,100,100,40.5,0.00883711,100,2.469135802,32.625,530,57,562,4.6836683,0.85,1,1,233.8810734,350.8216101,285.4847266,233.8810734,1.61255387,36.70331089
S,100,100,35,0.012822827,100,2.857142857,35.325,530,57,540,6.79609831,1,1,1,286.3136001,429.4704001,328.7304297,286.3136001,1.974063557,37.30977304
C,114,114,38.1,0.013089969,89.77101008,2.35619449,20.9608,296,58,417.9889026,3.874630824,0.75,1,1,165.4116459,248.1174688,233.479771,165.4116459,1.1404736,18.16245852
C,100,100,55,0.003499992,78.53981634,1.427996661,38.95,448,60,400.5530633,1.567996416,1,1,1,300.6454417,450.9681625,563.1394187,300.6454417,2.072878165,45.66633894
S,51,51,63.5,0.008726646,50.8,0.8,21.87,376,64,458,3.281218896,0.75,1,1,168.9610296,253.4415445,318.738711,168.9610296,1.164945749,33.88009161
S,100,100,40.5,0.010266643,100,2.469135802,32.625,530,66,562,5.44132079,0.85,1,1,233.8810734,350.8216101,285.4847266,233.8810734,1.61255387,36.70331089
S,100,100,46.5,0.006909661,100,2.150537634,27,530,66,586,3.66212033,0.85,1,1,212.765741,319.1486116,275.2157538,212.765741,1.466968721,39.97340046
S,100,100,40.5,0.011081456,100,2.469135802,28.05,530,67,562,5.87317168,0.85,1,1,216.8633943,325.2950915,264.7122571,216.8633943,1.495221057,34.03270075
S,152,152,38.1,0.026179939,152.4,4,20.567785,411,69,760.4,10.75995493,0.75,1,1,163.8535737,245.7803605,164.0259604,163.8535737,1.129731066,32.7296851
S,51,51,60.8,0.018512592,50.8,0.835526316,19.2375,376,71,447.2,6.960734592,0.75,1,1,158.4661375,237.6992062,294.6789801,158.4661375,1.092585986,29.70712829
S,100,100,40.5,0.011635528,100,2.469135802,27.825,530,71,562,6.16682984,0.85,1,1,215.9918701,323.9878052,263.6484394,215.9918701,1.489212107,33.89593114
S,100,100,40.5,0.012928365,100,2.469135802,27.825,530,71,562,6.85203345,0.85,1,1,215.9918701,323.9878052,263.6484394,215.9918701,1.489212107,33.89593114
C,154,154,38.1,0.013089969,120.8916269,3.17300858,21.05905375,387,73,543.6526087,5.065818003,0.75,1,1,165.7988762,248.6983143,199.0938071,165.7988762,1.143143459,23.67810051
S,100,100,35,0.019703369,100,2.857142857,28.95,530,73,540,10.44278557,0.85,1,1,220.315018,330.472527,252.9542799,220.315018,1.519019174,28.70944068
S,229,229,38.1,0.013089969,228.6,6,20.1092675,296,78,1068.4,3.874630824,0.75,1,1,162.0168863,243.0253295,138.7849629,138.7849629,0.956889011,38.95113292
S,102,102,63.5,0.008726646,101.6,1.6,19.575,376,78,662,3.281218896,0.75,1,1,159.8501475,239.7752212,233.2556533,159.8501475,1.102128403,46.33013666
C,102,102,38.1,0.020138414,79.7964534,2.094395102,13.14588843,550,78,380.2897907,11.0761277,0.75,1,1,130.9957262,196.4935894,196.7382301,130.9957262,0.903184093,13.0862615
S,100,100,40.5,0.01454441,100,2.469135802,27.825,530,79,562,7.7085373,0.85,1,1,215.9918701,323.9878052,263.6484394,215.9918701,1.489212107,33.89593114
S,229,229,38.1,0.026179939,228.6,6,19.5852475,396,80,1068.4,10.36725584,0.75,1,1,159.8919827,239.8379741,136.9647535,136.9647535,0.944339104,38.44027627
C,100,100,60,0.0069,78.53981634,1.308996939,27.975,250,82,408.407045,1.725,0.85,1,1,216.573276,324.8599139,426.4593218,216.573276,1.49322076,36.59048504
C,100,100,60,0.0069,78.53981634,1.308996939,26.025,250,82,408.407045,1.725,0.85,1,1,208.8888156,313.3332233,411.3276775,208.8888156,1.44023825,35.29218019
C,114,114,38.1,0.01484309,89.77101008,2.35619449,42.7731325,321,82,417.9889026,4.76463189,1,1,1,315.0550324,472.5825487,444.7025264,315.0550324,2.172228835,34.5935374
S,76,76,63.5,0.008726646,76.2,1.2,20.7225,376,83,558,3.281218896,0.75,1,1,164.4686888,246.7030332,269.3985333,164.4686888,1.133972137,40.18000436
S,100,100,40.5,0.01994662,100,2.469135802,31.875,530,85,562,10.5717086,0.85,1,1,231.1771551,346.7657327,282.1842143,231.1771551,1.593911002,36.2789809
